k,model_type,accuracy
4,word2vec,60.52631735801697
4,word2vec,68.42105388641357
4,word2vec,56.578946113586426
4,word2vec,71.05262875556946
4,dna2vec,73.68420958518982
4,dna2vec,68.42105388641357
4,dna2vec,61.84210777282715
4,dna2vec,61.84210777282715
