k,model_type,accuracy
3,word2vec,56.578946113586426
3,word2vec,73.68420958518982
3,word2vec,52.63158082962036
3,word2vec,64.47368264198303
3,dna2vec,71.05262875556946
3,dna2vec,57.894736528396606
3,dna2vec,59.21052694320679
3,dna2vec,65.78947305679321
