k,model_type,accuracy
6,word2vec,75.0
6,word2vec,65.78947305679321
6,word2vec,51.31579041481018
6,word2vec,52.63158082962036
6,dna2vec,78.94737124443054
6,dna2vec,73.68420958518982
6,dna2vec,53.94737124443054
6,dna2vec,55.263155698776245
