k,model_type,accuracy
3,word2vec,57.894736528396606
3,word2vec,57.894736528396606
3,word2vec,57.894736528396606
3,word2vec,57.894736528396606
3,dna2vec,57.894736528396606
3,dna2vec,57.894736528396606
3,dna2vec,57.894736528396606
3,dna2vec,57.894736528396606
4,word2vec,57.894736528396606
4,word2vec,57.894736528396606
4,word2vec,57.894736528396606
4,word2vec,57.894736528396606
4,dna2vec,57.894736528396606
4,dna2vec,57.894736528396606
4,dna2vec,57.894736528396606
4,dna2vec,57.894736528396606
